# bjd	phase	raw_flux	raw_err	corr_flux	corr_err	dtr_flux	dtr_err
56374.18245348	-0.04760638	0.762901	0.000213	0.748600	0.000241	0.763212	0.000213
56374.20288734	-0.03821121	0.660737	0.000213	0.632314	0.000242	0.661005	0.000213
56374.22332111	-0.02881608	0.549087	0.000213	0.505619	0.000242	0.549308	0.000213
56374.24375507	-0.01942085	0.458308	0.000213	0.402492	0.000242	0.458492	0.000213
56374.26418894	-0.01002567	0.393241	0.000213	0.328403	0.000242	0.393398	0.000213
56374.28462290	-0.00063045	0.367669	0.000213	0.299541	0.000242	0.367815	0.000213
56374.30505667	0.00876468	0.396036	0.000213	0.331622	0.000242	0.396192	0.000213
56374.32549054	0.01815986	0.455429	0.000213	0.399122	0.000242	0.455607	0.000213
56374.34592450	0.02755508	0.552711	0.000213	0.509745	0.000242	0.552926	0.000213
56374.36635827	0.03695021	0.659761	0.000213	0.631128	0.000242	0.660017	0.000213
56374.38679214	0.04634539	0.761042	0.000213	0.746310	0.000242	0.761335	0.000213
56374.40722610	0.05574062	0.866941	0.000213	0.866628	0.000242	0.867273	0.000213
56374.42765987	0.06513575	0.933473	0.000213	0.942191	0.000242	0.933829	0.000213
56374.44809384	0.07453097	0.984139	0.000213	0.999718	0.000242	0.984512	0.000213
56374.46852771	0.08392615	0.996618	0.000213	1.013951	0.000242	0.996993	0.000213
56374.48896157	0.09332133	0.988496	0.000213	1.004604	0.000242	0.988867	0.000214
56374.50939544	0.10271651	1.000934	0.000213	1.018790	0.000242	1.001307	0.000214
56374.52982931	0.11211169	0.993693	0.000214	1.010603	0.000242	0.994061	0.000214
56374.55026318	0.12150687	0.996715	0.000214	1.013879	0.000242	0.997082	0.000214
56374.57069705	0.13090205	1.002126	0.000214	1.020183	0.000242	1.002493	0.000214
56374.59113092	0.14029723	0.995006	0.000214	1.012035	0.000243	0.995368	0.000214
56374.61156479	0.14969241	1.003597	0.000214	1.021696	0.000243	1.003960	0.000214
56374.63199866	0.15908759	0.999660	0.000214	1.017463	0.000243	1.000020	0.000214
56374.65243253	0.16848277	1.001116	0.000214	1.018814	0.000243	1.001474	0.000214
56374.67286650	0.17787799	1.006329	0.000214	1.024900	0.000243	1.006687	0.000214
56374.69330037	0.18727317	1.001492	0.000214	1.019407	0.000243	1.001846	0.000214
56374.71373415	0.19666831	1.008611	0.000214	1.027377	0.000243	1.008966	0.000214
56374.73416812	0.20606354	1.008517	0.000214	1.027385	0.000243	1.008870	0.000214
56374.75460189	0.21545867	1.007866	0.000214	1.026602	0.000243	1.008217	0.000214
56374.77503576	0.22485385	1.011470	0.000214	1.030678	0.000243	1.011820	0.000214
56374.79546974	0.23424908	1.008986	0.000214	1.027911	0.000243	1.009333	0.000214
56374.81590351	0.24364421	1.011686	0.000214	1.030993	0.000243	1.012032	0.000214
56374.83633748	0.25303944	1.011407	0.000214	1.030564	0.000243	1.011751	0.000214
56374.85677136	0.26243462	1.010485	0.000214	1.029614	0.000243	1.010827	0.000214
56374.87720513	0.27182976	1.013875	0.000214	1.033398	0.000243	1.014216	0.000214
56374.89763910	0.28122498	1.011349	0.000214	1.030437	0.000243	1.011687	0.000214
56374.91807298	0.29062017	1.010549	0.000214	1.029788	0.000243	1.010885	0.000214
56374.93850675	0.30001530	1.012034	0.000214	1.031218	0.000243	1.012368	0.000214
56374.95894073	0.30941053	1.011262	0.000214	1.030396	0.000243	1.011594	0.000214
56374.97937460	0.31880571	1.011218	0.000214	1.030497	0.000243	1.011548	0.000214
56374.99980838	0.32820085	1.009777	0.000214	1.028645	0.000243	1.010105	0.000214
56375.02024236	0.33759608	1.010705	0.000214	1.029861	0.000243	1.011032	0.000214
56375.04067623	0.34699126	1.007217	0.000214	1.025847	0.000243	1.007541	0.000214
56375.06111021	0.35638649	1.006696	0.000214	1.025239	0.000243	1.007018	0.000214
56375.10197786	0.37517681	1.004107	0.000214	1.022284	0.000243	1.004424	0.000214
56375.12241184	0.38457204	1.006679	0.000214	1.025231	0.000243	1.006995	0.000214
56375.14284572	0.39396722	1.003659	0.000214	1.021854	0.000243	1.003972	0.000214
56375.16327950	0.40336236	1.005856	0.000214	1.024329	0.000243	1.006168	0.000214
56375.18371347	0.41275759	1.005407	0.000214	1.023731	0.000243	1.005718	0.000214
56375.20414735	0.42215277	1.000593	0.000214	1.018429	0.000243	1.000900	0.000214
56375.22458123	0.43154795	1.002581	0.000214	1.020545	0.000243	1.002887	0.000214
56375.24501511	0.44094314	0.990209	0.000214	1.006538	0.000243	0.990510	0.000214
56375.26544899	0.45033832	0.982984	0.000214	0.998438	0.000243	0.983281	0.000214
56375.28588297	0.45973355	0.975526	0.000214	0.989673	0.000243	0.975820	0.000214
56375.30631675	0.46912869	0.959932	0.000214	0.972222	0.000243	0.960218	0.000214
56375.32675063	0.47852388	0.959401	0.000214	0.971540	0.000243	0.959686	0.000214
56375.34718461	0.48791911	0.947625	0.000214	0.958099	0.000243	0.947905	0.000214
56375.36761839	0.49731424	0.944712	0.000214	0.954938	0.000243	0.944990	0.000214
56375.38805227	-0.49329057	0.953595	0.000214	0.964869	0.000243	0.953874	0.000214
56375.40848616	-0.48389538	0.950260	0.000214	0.961155	0.000243	0.950536	0.000214
56375.42892004	-0.47450020	0.969422	0.000214	0.982930	0.000243	0.969702	0.000214
56375.44935402	-0.46510497	0.975829	0.000214	0.990177	0.000243	0.976110	0.000214
56375.46978780	-0.45570983	0.983523	0.000214	0.998864	0.000243	0.983805	0.000214
56375.49022168	-0.44631465	1.001295	0.000214	1.019203	0.000243	1.001580	0.000214
56375.51065567	-0.43691941	0.999913	0.000214	1.017525	0.000243	1.000196	0.000215
56375.53108945	-0.42752427	1.014122	0.000214	1.033649	0.000243	1.014407	0.000215
56375.55152333	-0.41812909	1.012898	0.000215	1.032430	0.000243	1.013181	0.000215
56375.57195732	-0.40873385	1.010401	0.000215	1.029374	0.000244	1.010682	0.000215
56375.59239110	-0.39933871	1.018695	0.000215	1.039000	0.000243	1.018977	0.000215
56375.61282509	-0.38994348	1.009279	0.000215	1.028218	0.000244	1.009557	0.000215
56375.63325897	-0.38054830	1.016606	0.000215	1.036478	0.000243	1.016884	0.000215
56375.65369276	-0.37115315	1.016302	0.000215	1.036286	0.000243	1.016579	0.000215
56375.67412674	-0.36175792	1.010894	0.000214	1.030008	0.000243	1.011168	0.000215
56375.69456063	-0.35236273	1.020232	0.000214	1.040717	0.000243	1.020507	0.000215
56375.71499451	-0.34296755	1.012953	0.000214	1.032489	0.000243	1.013225	0.000215
56375.73542840	-0.33357236	1.018172	0.000214	1.038333	0.000243	1.018444	0.000214
56375.75586229	-0.32417717	1.018223	0.000214	1.038333	0.000243	1.018493	0.000214
56375.77629617	-0.31478199	1.015555	0.000214	1.035413	0.000243	1.015823	0.000214
56375.79673006	-0.30538680	1.022762	0.000214	1.043539	0.000243	1.023031	0.000214
56375.81716395	-0.29599161	1.017159	0.000214	1.037140	0.000243	1.017425	0.000214
56375.83759794	-0.28659637	1.020941	0.000214	1.041617	0.000243	1.021206	0.000214
56375.87846561	-0.26780605	1.017143	0.000214	1.037237	0.000243	1.017405	0.000214
56375.89889960	-0.25841081	1.018442	0.000214	1.038753	0.000243	1.018703	0.000214
56375.91933349	-0.24901562	1.015015	0.000214	1.034695	0.000243	1.015273	0.000214
56375.93976728	-0.23962048	1.018420	0.000214	1.038809	0.000243	1.018678	0.000214
56375.96020127	-0.23022525	1.014789	0.000214	1.034462	0.000243	1.015045	0.000214
56375.98063516	-0.22083006	1.015662	0.000214	1.035494	0.000243	1.015917	0.000214
56376.00106915	-0.21143482	1.015573	0.000214	1.035532	0.000243	1.015826	0.000214
56376.02150294	-0.20203968	1.010695	0.000214	1.029878	0.000243	1.010946	0.000214
56376.04193683	-0.19264449	1.014108	0.000214	1.033797	0.000243	1.014359	0.000214
56376.06237072	-0.18324930	1.006425	0.000214	1.025119	0.000243	1.006672	0.000214
56376.08280461	-0.17385411	1.008918	0.000214	1.027916	0.000243	1.009165	0.000214
56376.10323850	-0.16445892	1.008484	0.000214	1.027457	0.000242	1.008730	0.000214
56376.12367239	-0.15506373	1.003011	0.000213	1.021316	0.000242	1.003254	0.000213
56376.14410629	-0.14566854	1.007872	0.000213	1.026737	0.000241	1.008115	0.000213
56376.16454008	-0.13627340	0.999791	0.000212	1.017643	0.000241	1.000031	0.000212
56376.18497407	-0.12687816	1.001142	0.000212	1.019244	0.000241	1.001381	0.000212
56376.20540797	-0.11748297	1.001165	0.000212	1.019083	0.000240	1.001403	0.000212
56376.22584196	-0.10808773	0.993969	0.000211	1.011140	0.000240	0.994205	0.000211
56376.24627575	-0.09869259	0.999490	0.000211	1.017290	0.000239	0.999726	0.000211
